Date,ID,Amount,Name,Type,,,,,,,
12/18/2020 0:00,77142,457.5,UNIVERSITY OF FL : DIR DEP  ID: 4596002052CO: UNIVERSITY OF FL,"ach, deposit, processed",0,0,0,0,0,0,0
12/18/2020 0:00,251525,60,University of Fl : EDI PYMNTS  ID: 8596002052CO: University of Fl,"ach, deposit, processed",0,0,0,0,0,0,0
12/18/2020 0:00,303503,-4.28,DOLLAR TREE GAINESVILLE FL  12/17/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/18/2020 0:00,581652,-11.5,UPPERCRUST Gainesville FL,"pos, withdrawal, processed",0,0,0,0,0,0,0
12/18/2020 0:00,603883,-2.13,MICHAELS STORES 9609 3644 SOUTHWEST ARC GAINESVILLE FL,"pos, withdrawal, processed",0,0,0,0,0,0,0
12/18/2020 0:00,6106,-5.87,SQ *BAY ISLANDS COFFEE CO Gainesville FL  12/18/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/19/2020 0:00,150582,-5.35,DOLLAR TREE GAINESVILLE FL  12/18/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/19/2020 0:00,166859,-0.68,WALGREENS #4037 GAINESVILLE FL  12/18/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/19/2020 0:00,405062,-5.8,WAL-MART #3877 1800 NE 12TH AVE GAINESVILLE FL,"pos, withdrawal, processed",0,0,0,0,0,0,0
12/19/2020 0:00,629764,-4.65,SQ *COFFEE CULTURE Gainesville FL  12/19/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/19/2020 0:00,650376,-4.82,SQ *REPURPOSE PROJE GAINESVILLE FL  12/19/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/19/2020 0:00,5811,-74.06,BEQUE HOLIC GAINESVILLE FL  12/18/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/19/2020 0:00,15028,-26.7,#094392 ABC*CRUNCH FITNESS 941-3551908 FL,"billpayment, withdrawal, processed",0,0,0,0,0,0,0
12/20/2020 0:00,219247,-10.79,PUBLIX #1560 GAINESVILLE FL  12/19/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/21/2020 0:00,93193,-6.83,THE BAGEL BAKERY GAINESVILLE FL  12/20/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/25/2020 0:00,64017,-17.28,JOANN STORES #2032 ORLANDO FL  12/24/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/28/2020 0:00,413593,-25,VENMO : PAYMENT  ID: x92  CO: VENMO,"ach, withdrawal, processed",0,0,0,0,0,0,0
12/28/2020 0:00,413598,-50,VENMO : PAYMENT  ID: x92  CO: VENMO,"ach, withdrawal, processed",0,0,0,0,0,0,0
12/30/2020 0:00,237550,-17.1,FIRST WATCH - 187 - ECOMM 941-907-9800 FL  12/29/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/30/2020 0:00,707431,-6.35,SQ *BLACK CROW COFFEE CO St Petersburg FL  12/30/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/31/2020 0:00,184152,382.5,UNIVERSITY OF FL : DIR DEP  ID: 4596002052CO: UNIVERSITY OF FL,"ach, deposit, processed",0,0,0,0,0,0,0
12/31/2020 0:00,728938,-4.02,7-ELEVEN 26196 LARGO FL  12/30/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
12/31/2020 0:00,65389,-5.38,TARGET 00022350 RIVERVIEW FL  12/31/20,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
1/1/2021 0:00,386419,-17.59,TST* BODEGA ON CENTRAL ST. PETERSBUR FL  01/01/21,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
1/2/2021 0:00,65160,-85.15,TARGET 00008979 OVIEDO FL  01/01/21,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
1/2/2021 0:00,102287,-6.73,TROPICAL SMOOTHIE CAFE - OVIEDO FL  01/01/21,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
1/2/2021 0:00,413453,-39.99,FABFITFUN 855-3136267 CA  01/02/21,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
1/3/2021 0:00,118891,-54.56,SP * THIRDLOVE THIRDLOVE.MYS CA  01/02/21,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
1/3/2021 0:00,156990,-46.06,TARGET 00008979 OVIEDO FL  01/02/21,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
1/3/2021 0:00,496079,-6.41,OYISH JAPANESE STEAK HOUS OVIEDO FL  01/01/21,"debitcard, withdrawal, processed",0,0,0,0,0,0,0
